timestamp,frame,track_id,event_type,zone_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence
2026-05-14 00:06:48,291,1,zone_intrusion,restricted_area,416,281,424,305,1.0
2026-05-14 00:06:48,291,4,zone_intrusion,restricted_area,432,241,472,356,0.7443
2026-05-14 00:06:50,300,11,zone_intrusion,restricted_area,395,248,416,305,0.6168
2026-05-14 00:06:51,302,5,zone_intrusion,restricted_area,299,199,318,244,0.8056
2026-05-14 00:06:51,302,6,zone_intrusion,restricted_area,354,234,379,269,0.5633
2026-05-14 00:06:51,302,7,zone_intrusion,restricted_area,168,170,182,207,1.0
2026-05-14 00:06:51,304,3,zone_intrusion,restricted_area,350,236,372,302,1.0
2026-05-14 00:06:53,309,8,zone_intrusion,restricted_area,283,204,298,246,0.6533
2026-05-14 00:06:55,321,1,zone_intrusion,restricted_area,425,232,446,295,1.0
2026-05-14 00:06:57,330,11,zone_intrusion,restricted_area,377,229,402,300,0.6881
2026-05-14 00:06:58,332,5,zone_intrusion,restricted_area,297,197,315,243,0.8369
2026-05-14 00:06:58,332,6,zone_intrusion,restricted_area,349,231,374,268,1.0
2026-05-14 00:06:58,332,7,zone_intrusion,restricted_area,167,171,181,207,1.0
2026-05-14 00:06:58,334,3,zone_intrusion,restricted_area,324,237,342,292,1.0
2026-05-14 00:07:00,339,8,zone_intrusion,restricted_area,283,204,297,244,0.6562
2026-05-14 00:07:03,351,1,zone_intrusion,restricted_area,393,228,414,291,0.831
2026-05-14 00:07:04,360,11,zone_intrusion,restricted_area,364,231,384,293,1.0
2026-05-14 00:07:05,362,5,zone_intrusion,restricted_area,294,196,309,240,0.6974
2026-05-14 00:07:05,362,6,zone_intrusion,restricted_area,345,229,370,267,1.0
2026-05-14 00:07:05,362,7,zone_intrusion,restricted_area,165,172,179,207,1.0
2026-05-14 00:07:05,364,3,zone_intrusion,restricted_area,297,238,311,282,1.0
2026-05-14 00:07:06,369,8,zone_intrusion,restricted_area,279,196,292,237,0.5671
2026-05-14 00:07:08,381,1,zone_intrusion,restricted_area,376,224,400,286,0.7829
2026-05-14 00:07:09,390,11,zone_intrusion,restricted_area,316,226,331,268,1.0
2026-05-14 00:07:09,392,5,zone_intrusion,restricted_area,291,195,303,234,0.6451
2026-05-14 00:07:09,392,6,zone_intrusion,restricted_area,340,226,367,266,1.0
2026-05-14 00:07:11,399,8,zone_intrusion,restricted_area,276,194,288,233,0.5398
2026-05-14 00:07:12,411,1,zone_intrusion,restricted_area,363,223,382,272,0.5949
2026-05-14 00:07:13,417,7,zone_intrusion,restricted_area,161,173,176,212,0.5293
2026-05-14 00:07:13,420,11,zone_intrusion,restricted_area,298,223,317,269,0.5258
2026-05-14 00:07:14,422,5,zone_intrusion,restricted_area,284,192,298,230,1.0
2026-05-14 00:07:15,429,8,zone_intrusion,restricted_area,272,192,283,228,1.0
2026-05-14 00:07:16,441,1,zone_intrusion,restricted_area,346,219,367,269,0.8512
2026-05-14 00:07:17,447,7,zone_intrusion,restricted_area,152,171,169,215,1.0
2026-05-14 00:07:18,450,11,zone_intrusion,restricted_area,285,218,305,272,0.7191
2026-05-14 00:07:18,452,5,zone_intrusion,restricted_area,264,193,275,228,0.5352
2026-05-14 00:07:20,459,8,zone_intrusion,restricted_area,319,222,338,269,0.7578
2026-05-14 00:07:22,471,1,zone_intrusion,restricted_area,333,215,354,268,0.8231
2026-05-14 00:07:23,477,7,zone_intrusion,restricted_area,167,169,180,202,0.5968
2026-05-14 00:07:24,480,11,zone_intrusion,restricted_area,276,214,295,268,0.7517
2026-05-14 00:07:24,482,5,zone_intrusion,restricted_area,262,190,273,226,0.618
2026-05-14 00:07:26,489,8,zone_intrusion,restricted_area,308,217,328,267,0.7911
2026-05-14 00:07:28,501,1,zone_intrusion,restricted_area,328,211,347,265,0.8179
2026-05-14 00:07:29,507,7,zone_intrusion,restricted_area,169,173,181,204,1.0
2026-05-14 00:07:30,510,11,zone_intrusion,restricted_area,268,212,285,264,0.731
2026-05-14 00:07:30,512,5,zone_intrusion,restricted_area,251,190,263,223,1.0
2026-05-14 00:07:31,519,8,zone_intrusion,restricted_area,300,217,316,265,0.7359
2026-05-14 00:07:33,531,1,zone_intrusion,restricted_area,319,208,338,262,0.8067
2026-05-14 00:07:35,540,11,zone_intrusion,restricted_area,270,207,287,259,0.6916
2026-05-14 00:07:35,542,5,zone_intrusion,restricted_area,242,185,256,222,1.0
2026-05-14 00:07:36,549,8,zone_intrusion,restricted_area,295,213,312,260,0.7236
2026-05-14 00:07:38,561,1,zone_intrusion,restricted_area,311,205,330,257,0.856
2026-05-14 00:07:39,570,11,zone_intrusion,restricted_area,270,205,286,256,0.7753
2026-05-14 00:07:40,572,5,zone_intrusion,restricted_area,237,184,251,217,0.5196
2026-05-14 00:07:41,579,8,zone_intrusion,restricted_area,290,210,308,256,0.707
